MPI,	OMP,	Send MSG,	OMP time,	Array,	Recv msg,	total time
15,24,	0.342445,	0.386142,	0.052590,	0.196889,	1.085378
16,1,	0.478018,	0.364084,	0.048911,	0.394675,	1.288797
16,2,	0.382632,	0.254331,	0.048767,	0.279229,	1.032223
16,3,	0.434366,	0.297778,	0.049166,	0.276408,	1.095757
16,4,	0.469602,	0.241096,	0.062364,	0.296932,	1.201003
16,5,	0.624680,	0.318929,	0.067799,	0.306120,	1.381307
16,6,	0.869616,	0.369904,	0.062382,	0.399557,	1.752863
16,7,	0.961817,	0.426707,	0.066149,	0.411367,	1.900113
16,8,	1.077015,	0.427547,	0.054410,	0.483563,	2.166277
16,9,	1.095266,	0.462881,	0.048860,	0.550936,	2.329806
16,10,	1.229494,	0.412933,	0.084244,	0.599126,	2.523302
16,11,	1.428190,	0.533926,	0.070925,	0.621684,	2.802635
16,12,	1.492785,	0.486837,	0.058824,	0.682240,	2.976679
16,13,	0.326833,	0.284638,	0.050572,	0.184870,	0.897165
16,14,	0.346410,	0.206590,	0.050844,	0.183750,	0.895186
16,15,	0.334147,	0.234848,	0.051875,	0.188106,	0.901501
16,16,	0.334226,	0.307017,	0.050406,	0.191431,	0.912695
16,17,	0.345129,	0.293405,	0.054261,	0.192124,	0.929629
16,18,	0.352835,	0.313911,	0.052198,	0.189893,	0.950567
16,19,	0.337627,	0.224113,	0.051800,	0.190195,	0.964744
16,20,	0.331451,	0.343420,	0.066756,	0.177005,	0.918953
16,21,	0.338455,	0.312476,	0.052362,	0.188254,	0.948325
16,22,	0.343481,	0.365061,	0.054018,	0.182895,	0.966114
16,23,	0.336153,	0.364986,	0.052460,	0.187052,	1.002153
16,24,	0.335325,	0.351805,	0.066073,	0.194679,	0.956896
17,1,	0.494158,	0.174990,	0.024854,	0.409314,	4.555069
17,2,	0.392880,	0.129360,	0.024630,	0.284252,	2.853572
17,3,	0.496627,	0.154860,	0.024951,	0.301812,	2.455870
17,4,	0.614645,	0.120920,	0.046787,	0.299484,	2.375915
17,5,	0.869470,	0.195940,	0.025116,	0.381111,	2.683513
17,6,	0.980700,	0.191662,	0.042138,	0.513896,	3.079684
17,7,	1.047328,	0.247861,	0.030785,	0.449660,	2.978292
17,8,	1.202983,	0.269986,	0.028289,	0.545208,	3.342509
17,9,	1.320288,	0.249111,	0.025013,	0.555726,	3.349749
17,10,	1.360742,	0.277175,	0.032073,	0.621194,	3.576548
17,11,	1.674694,	0.287594,	0.048382,	0.675512,	3.883803
17,12,	1.640534,	0.412956,	0.051104,	0.836215,	4.131487
17,13,	0.414606,	0.121966,	0.025281,	0.199857,	1.877179
17,14,	0.367682,	0.176840,	0.029077,	0.187565,	1.804067
17,15,	0.362619,	0.137606,	0.025840,	0.194252,	2.021726
17,16,	0.353790,	0.160797,	0.049493,	0.201270,	1.975996
17,17,	0.365386,	0.165603,	0.025165,	0.204858,	1.935607
17,18,	0.367350,	0.177232,	0.026841,	0.190770,	1.877662
17,19,	0.349797,	0.179460,	0.025717,	0.196969,	1.841418
17,20,	0.324841,	0.182020,	0.044209,	0.195495,	1.775856
17,21,	0.357181,	0.130470,	0.026456,	0.192100,	1.821921
17,22,	0.347558,	0.114675,	0.027409,	0.192460,	1.897863
